candidate_id_2079,parliament_id
6000,2501
6001,2502
6002,2503
6003,2504
6004,2505
6005,2506
6006,2507
6007,2508
6008,2509
6009,2510
6010,2511
6011,2512
6012,2513
6013,2514
6014,2515
6015,2516
6016,2517
6017,2518
6018,2519
6019,2520
6020,2521
6021,2522
6022,2523
6023,2524
6024,2525
6025,2526
6026,2527
6027,2528
6028,2529
6029,2530
6030,2531
6031,2532
6032,2533
6033,2534
6034,2535
6035,2536
6036,2537
6037,2538
6038,2539
6039,2540
6040,2541
6041,2542
6042,2543
6043,2544
6044,2545
6045,2546
6046,2547
6047,2548
6048,2549
6049,2550
6050,2501
6051,2502
6052,2503
6053,2504
6054,2505
6055,2506
6056,2507
6057,2508
6058,2509
6059,2510
6060,2511
6061,2512
6062,2513
6063,2514
6064,2515
6065,2516
6066,2517
6067,2518
6068,2519
6069,2520
6070,2521
6071,2522
6072,2523
6073,2524
6074,2525
6075,2526
6076,2527
6077,2528
6078,2529
6079,2530
6080,2531
6081,2532
6082,2533
6083,2534
6084,2535
6085,2536
6086,2537
6087,2538
6088,2539
6089,2540
6090,2541
6091,2542
6092,2543
6093,2544
6094,2545
6095,2546
6096,2547
6097,2548
6098,2549
6099,2550
